timestamp, utilization.gpu [%], memory.used [MiB]
2025/01/26 23:23:13.210, 0 %, 1 MiB
2025/01/26 23:23:13.211, 0 %, 1 MiB
2025/01/26 23:23:13.212, 0 %, 1 MiB
2025/01/26 23:23:13.213, 0 %, 1 MiB
2025/01/26 23:23:13.215, 0 %, 1 MiB
2025/01/26 23:24:13.216, 11 %, 1527 MiB
2025/01/26 23:24:13.216, 0 %, 4 MiB
2025/01/26 23:24:13.216, 0 %, 4 MiB
2025/01/26 23:24:13.216, 0 %, 4 MiB
2025/01/26 23:24:13.216, 0 %, 4 MiB
2025/01/26 23:25:13.217, 16 %, 1527 MiB
2025/01/26 23:25:13.217, 0 %, 4 MiB
2025/01/26 23:25:13.217, 0 %, 4 MiB
2025/01/26 23:25:13.217, 0 %, 4 MiB
2025/01/26 23:25:13.217, 0 %, 4 MiB
2025/01/26 23:26:13.218, 11 %, 1527 MiB
2025/01/26 23:26:13.218, 0 %, 4 MiB
2025/01/26 23:26:13.218, 0 %, 4 MiB
2025/01/26 23:26:13.218, 0 %, 4 MiB
2025/01/26 23:26:13.218, 0 %, 4 MiB
